query_id,query_text,user_intent,result_rank,result_title,result_description,relevance_score,rationale
q8,24 minutes home workout no equipment,To find 20 minutes home workout routine without any equipments,5,Healthy meal prep ideas,"Nutrition contents, not workout.",0,Irrelevant to user's qeury
q9,basic python for data analysis,Beginners to learn python for data analysis tasks,1,Python basics for data analysis,"Covers basic operations, pandas, numpy",3,Strong match for beginners learning python for data analysis 
q9,basic python for data analysis,Beginners to learn python for data analysis tasks,2,Intro to Python programming,Beginner python but not data specific,2,Relevant but not specific for data anallysis task. 
q9,basic python for data analysis,Beginners to learn python for data analysis tasks,3,Data visualization with Python,Covers how to make plots,2,Relevant to analysis but visualization only.
q9,basic python for data analysis,Beginners to learn python for data analysis tasks,4,Advanced machine learning in Python,Advance python,1,Python related but not beginner friendly.
q9,basic python for data analysis,Beginners to learn python for data analysis tasks,5,Learn SQL in 10 minutes,Different language,0,Not related to python.
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,1,10 min morning workout for beginners,"Short routine, ideal for mornings",3,Direct match for beginner morning routine
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,2,Morning stretching routine,"Stretching, not workout",2,Missing workout component but still useful
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,3,20 min full body beginner workout,"Full body workout, not ideal for morning",2,"Not morning focused, but still useful"
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,4,Morning relaxation yoga,"Morning yoga, not workout",2,Missing workout component but still useful
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,5,High intensityn morning bootcamp,Morning workout but not for begiiners,1,Not beginner friendly but related to workout
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,6,Afternoon strength training,"Workout, suitable for afternoon",1,Not ideal for morning but related to workout
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,7,Healthy morning habits,"Habits, not workout",0,Not related to workout.
q10,morning workout routine for beginners,To find simple morning workout routines for beginners,8,Beginner cycling workout,"Workout for beginners, but require equipment, not simple",1,Related to workout but not exactly to what user wanted.
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,1,Top 10 budget travel destinations in Asia 2024,2024 Asia destinations list with cost breakdowns,3,Perfect fit
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,2,Cheapest countries to visit in Southeast Asia,"Covers Southeast Asia, but not 2024 specific",2,Missing year focus but still relevant
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,3,Backpacking Southeast Asia on $30 a day,Budget friendly but not 2024 specific,2,Missing year focus but still relevant
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,4,Asia travel trends 2024,"General information on travel, not budget travel",1,Useful but not fully aligned
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,5,Top luxury resorts in Asia,"High end, expensive travel",0,Opposite to what user wanted.
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,6,Travel vlog: China trip,"General travel vlog, not 2024 & budget specific",1,Missing year and budget focus but can be useful
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,7,Cheapest way to book flights,Useful tip but not destination recommendations,1,Missing year and budget focus but can be useful
q11,budget travel destination in asia 2024,To find affordable Asian destination to visit in 2024,8,European budget destinations 2024,Different region,0,Irrelevant to user's qeury
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,1,10 easy hairstyles for medium hair,Multiple ideas for medium hair ,3,perfectly relevant
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,2,5 minutes medium length hiarstyles for school,"Simple, quick daily hairstyles for medium hair",3,Hightly relevant
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,3,Hairstyles for long hair only,Not applicable for medium hair ,1,Hair related but off intent
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,4,Cute short hair ideas,Short hair specific,1,Hair related but off intent
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,5,Basic brading tutorial,Not specific to medium length,2,Not specific to medium hair but can be useful
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,6,Korean inspired soft waves ,Not specific to medium length,2,Not specific to medium hair but can be useful
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,7,Hair styling tools you need,"General information on tools, not hairstyles",1,Hair related but off intent
q12,easy medium length hairstyling,To find simple hairstyle ideas for medium length hair,8,Makeup tutorial for beginners,"Makeup tutorial, not hairstyles",0,Irrelevant to user's qeury
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,1,Small bedroom organization hacks,Shows specific storage strategies and decluttering tricks,3,Directly satisfies user intent
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,2,Maximize space in tiny rooms,Practical tips for saving space,3,Highly relevant
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,3,Asesthetic room décor ideas 2024,"Deco focused, not organization",2,Wrong intent but still relevant
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,4,Minimalist cleaning routine,"Cleaning focused, not organization",1,"Off intent, weak relevance"
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,5,Small apartment tour,Shows room layout but not tips,2,Wrong intent but still can be useful
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,6,DIY furniture build,"Building furniture focused, not organization",1,"Off intent, weak relevance"
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,7,Study desk setup ideas,Focus on desk only,1,"Off intent, weak relevance"
q13,how to organize small bedroom ,To get organization tips saving space for small bedrooms,8,Travel vlog Korea,Different category,0,Irrelevant to user's qeury
q14,quick healthy snack ideas,To find fast and healthy snack recipes,1,10 healthy snack ideas in 10 minutes,"Quick, nutritious, easy steps to make snack",3,Perfect match
q14,quick healthy snack ideas,To find fast and healthy snack recipes,2,3 ways to make overnight oats,"Fast, healthy but can be little heavy as a snack",2,Moderately relevant
q14,quick healthy snack ideas,To find fast and healthy snack recipes,3,Korean snack ideas,Include both healthy and unhealthy snacks,2,Moderately relevant
q14,quick healthy snack ideas,To find fast and healthy snack recipes,4,High protein smoothie,A healthy recipe to make smoothie,2,Moderately relevant
q14,quick healthy snack ideas,To find fast and healthy snack recipes,5,Healthy meal prep for a week,Healthy but not snacks,2,Moderately relevant
q14,quick healthy snack ideas,To find fast and healthy snack recipes,6,Tomato pasta tutorial,Not a healthy snack,1,Weak relevance
q14,quick healthy snack ideas,To find fast and healthy snack recipes,7,Fashion haul,"Not food, different category",0,Irrelevant to user's qeury
q14,quick healthy snack ideas,To find fast and healthy snack recipes,8,How to make delicious matcha,A recipe to make healthy matcha,2,Moderately relevant
q15,tips for staying motivated to study,To improve study motivation,1,5 ways to stay motivated to study,Actionable tips,3,Perfect match
q15,tips for staying motivated to study,To improve study motivation,2,How I stay focused for exams,Realistic tips ,3,Highly relevant to user's intent.
q15,tips for staying motivated to study,To improve study motivation,3,Pomodoro technique explained,Indirect tip,2,Relevant technique but not motivational
q15,tips for staying motivated to study,To improve study motivation,4,Study with me 2hours,Indirect help,2,Not motivational but useful
q15,tips for staying motivated to study,To improve study motivation,5,Self care routine for students,Not motivation focused ,1,Weak relevance but still related to student
q15,tips for staying motivated to study,To improve study motivation,6,How to take good notes,A good tip but not motivational,1,Weak relevance but still related to student
q15,tips for staying motivated to study,To improve study motivation,7,Funny cat videos,Different category,0,Irrelevant to user's qeury

q15,tips for staying motivated to study,To improve study motivation,8,How to clean my room,A good tip but not directly related,1,Weak relevance but still related to student
